xyz,Country,ISO3,Year,temperature
1,Afghanistan,AFG,2016,14.513565
2,Albania,ALB,2016,12.7223375
3,Algeria,DZA,2016,24.06706667
4,AmericanSamoa,ASM,2016,27.79135833
5,Andorra,AND,2016,12.4421125
6,Angola,AGO,2016,22.55590833
7,Antigua&amp;Barbuda,ATG,2016,26.49775833
8,Argentina,ARG,2016,14.506255
9,Armenia,ARM,2016,7.921609167
10,Aruba,ABW,2016,29.077975
11,Australia,AUS,2016,22.36016667
12,Austria,AUT,2016,7.679596667
13,Azerbaijan,AZE,2016,12.5073375
14,Bahrain,BHR,2016,28.5921
15,Bangladesh,BGD,2016,25.35675
16,Barbados,BRB,2016,27.05060833
17,Belarus,BLR,2016,7.9362575
18,Belgium,BEL,2016,10.86216167
19,Belize,BLZ,2016,26.25135
20,Benin,BEN,2016,28.41668333
21,Bermuda,BMU,2016,22.09166667
22,Bhutan,BTN,2016,12.54116583
23,Bolivia,BOL,2016,21.07715
24,Bosnia&amp;Herzegovina,BIH,2016,10.97529667
25,Botswana,BWA,2016,22.940175
26,Brazil,BRA,2016,26.01928333
27,BritishVirginIs.,VGB,2016,26.404625
28,Brunei,BRN,2016,26.34960833
29,Bulgaria,BGR,2016,12.06575583
30,BurkinaFaso,BFA,2016,29.13964167
31,Burundi,BDI,2016,21.20525833
32,Cambodia,KHM,2016,28.162125
33,Cameroon,CMR,2016,25.34681667
34,Canada,CAN,2016,-4.965330833
35,CapeVerde,CPV,2016,23.73783333
36,CaymanIs.,CYM,2016,27.90833333
37,CentralAfricanRepublic,CAF,2016,25.705075
38,Chad,TCD,2016,28.02565833
39,Chile,CHL,2016,8.936416667
40,China,CHN,2016,7.4453225
41,CocosIs.,CCK,2016,27.2
42,Colombia,COL,2016,25.47451667
43,Comoros,COM,2016,25.73560833
44,Congo,COG,2016,25.361925
45,CookIs.,COK,2016,24.71813333
46,CostaRica,CRI,2016,25.30299167
47,Coted'Ivoire,CIV,2016,27.25404167
48,Croatia,HRV,2016,11.911625
