xyz,continent_code,continent,country,codecountry,year,suicides_no
1,EU,Europe,Albania,ALB,1987,73
2,EU,Europe,Albania,ALB,1988,63
3,EU,Europe,Albania,ALB,1989,68
4,EU,Europe,Albania,ALB,1992,47
5,EU,Europe,Albania,ALB,1993,73
6,EU,Europe,Albania,ALB,1994,50
7,EU,Europe,Albania,ALB,1995,88
8,EU,Europe,Albania,ALB,1996,89
9,EU,Europe,Albania,ALB,1997,170
10,EU,Europe,Albania,ALB,1998,154
11,EU,Europe,Albania,ALB,1999,139
12,EU,Europe,Albania,ALB,2000,54
13,EU,Europe,Albania,ALB,2001,119
14,EU,Europe,Albania,ALB,2002,133
15,EU,Europe,Albania,ALB,2003,124
16,EU,Europe,Albania,ALB,2004,146
17,EU,Europe,Albania,ALB,2005,0
18,EU,Europe,Albania,ALB,2006,0
19,EU,Europe,Albania,ALB,2007,124
20,EU,Europe,Albania,ALB,2008,160
21,EU,Europe,Albania,ALB,2009,0
22,EU,Europe,Albania,ALB,2010,96
52,NA,North America,Antigua and Barbuda,ATG,1983,0
53,NA,North America,Antigua and Barbuda,ATG,1985,0
54,NA,North America,Antigua and Barbuda,ATG,1986,0
55,NA,North America,Antigua and Barbuda,ATG,1987,0
56,NA,North America,Antigua and Barbuda,ATG,1988,0
57,NA,North America,Antigua and Barbuda,ATG,1989,0
58,NA,North America,Antigua and Barbuda,ATG,1990,1
59,NA,North America,Antigua and Barbuda,ATG,1991,0
60,NA,North America,Antigua and Barbuda,ATG,1992,0
61,NA,North America,Antigua and Barbuda,ATG,1993,1
62,NA,North America,Antigua and Barbuda,ATG,1994,0
63,NA,North America,Antigua and Barbuda,ATG,1995,0
64,NA,North America,Antigua and Barbuda,ATG,1998,0
65,NA,North America,Antigua and Barbuda,ATG,1999,0
66,NA,North America,Antigua and Barbuda,ATG,2000,2
67,NA,North America,Antigua and Barbuda,ATG,2001,2
68,NA,North America,Antigua and Barbuda,ATG,2002,0
69,NA,North America,Antigua and Barbuda,ATG,2003,1
70,NA,North America,Antigua and Barbuda,ATG,2004,2
71,NA,North America,Antigua and Barbuda,ATG,2005,0
72,NA,North America,Antigua and Barbuda,ATG,2006,0
73,NA,North America,Antigua and Barbuda,ATG,2007,1
74,NA,North America,Antigua and Barbuda,ATG,2008,0
75,NA,North America,Antigua and Barbuda,ATG,2009,0
76,NA,North America,Antigua and Barbuda,ATG,2012,0
77,NA,North America,Antigua and Barbuda,ATG,2013,0
78,NA,North America,Antigua and Barbuda,ATG,2014,0
79,NA,North America,Antigua and Barbuda,ATG,2015,1
80,SA,South America,Argentina,ARG,1979,1802
81,SA,South America,Argentina,ARG,1980,1972
82,SA,South America,Argentina,ARG,1981,2197
83,SA,South America,Argentina,ARG,1982,1965
84,SA,South America,Argentina,ARG,1983,1834
85,SA,South America,Argentina,ARG,1984,1873
86,SA,South America,Argentina,ARG,1985,1988
87,SA,South America,Argentina,ARG,1986,2284
88,SA,South America,Argentina,ARG,1987,2286
89,SA,South America,Argentina,ARG,1988,2354
90,SA,South America,Argentina,ARG,1989,2247
91,SA,South America,Argentina,ARG,1990,2140
92,SA,South America,Argentina,ARG,1991,1951
93,SA,South America,Argentina,ARG,1992,2184
94,SA,South America,Argentina,ARG,1993,2230
95,SA,South America,Argentina,ARG,1994,2241
96,SA,South America,Argentina,ARG,1995,2204
97,SA,South America,Argentina,ARG,1996,2229
98,SA,South America,Argentina,ARG,1997,2184
99,SA,South America,Argentina,ARG,1998,2347
100,SA,South America,Argentina,ARG,1999,2423
101,SA,South America,Argentina,ARG,2000,2774
102,SA,South America,Argentina,ARG,2001,3132
103,SA,South America,Argentina,ARG,2002,3162
104,SA,South America,Argentina,ARG,2003,3289
105,SA,South America,Argentina,ARG,2004,3121
106,SA,South America,Argentina,ARG,2005,3058
107,SA,South America,Argentina,ARG,2006,3108
108,SA,South America,Argentina,ARG,2007,2946
109,SA,South America,Argentina,ARG,2008,3059
110,SA,South America,Argentina,ARG,2009,2884
111,SA,South America,Argentina,ARG,2010,2943
112,SA,South America,Argentina,ARG,2011,2912
113,SA,South America,Argentina,ARG,2012,3248
114,SA,South America,Argentina,ARG,2013,2987
115,SA,South America,Argentina,ARG,2014,3231
116,SA,South America,Argentina,ARG,2015,3073
117,AS,Asia,Armenia,ARM,1981,92
118,AS,Asia,Armenia,ARM,1982,70
119,AS,Asia,Armenia,ARM,1985,74
120,AS,Asia,Armenia,ARM,1986,61
121,AS,Asia,Armenia,ARM,1987,81
122,AS,Asia,Armenia,ARM,1988,61
123,AS,Asia,Armenia,ARM,1989,78
124,AS,Asia,Armenia,ARM,1990,93
125,AS,Asia,Armenia,ARM,1991,80
126,AS,Asia,Armenia,ARM,1992,83
127,AS,Asia,Armenia,ARM,1993,106
128,AS,Asia,Armenia,ARM,1994,112
129,AS,Asia,Armenia,ARM,1995,130
130,AS,Asia,Armenia,ARM,1996,87
131,AS,Asia,Armenia,ARM,1997,77
132,AS,Asia,Armenia,ARM,1998,66
133,AS,Asia,Armenia,ARM,1999,67
134,AS,Asia,Armenia,ARM,2000,61
135,AS,Asia,Armenia,ARM,2001,60
136,AS,Asia,Armenia,ARM,2002,74
137,AS,Asia,Armenia,ARM,2003,59
138,AS,Asia,Armenia,ARM,2006,78
139,AS,Asia,Armenia,ARM,2007,71
140,AS,Asia,Armenia,ARM,2008,63
141,AS,Asia,Armenia,ARM,2009,53
142,AS,Asia,Armenia,ARM,2010,73
143,AS,Asia,Armenia,ARM,2011,67
144,AS,Asia,Armenia,ARM,2012,79
145,AS,Asia,Armenia,ARM,2013,67
146,AS,Asia,Armenia,ARM,2014,58
147,AS,Asia,Armenia,ARM,2015,74
148,AS,Asia,Armenia,ARM,2016,67
149,NA,North America,Aruba,ABW,1987,0
150,NA,North America,Aruba,ABW,1990,0
151,NA,North America,Aruba,ABW,1995,8
152,NA,North America,Aruba,ABW,1999,9
153,NA,North America,Aruba,ABW,2000,10
154,NA,North America,Aruba,ABW,2001,4
155,NA,North America,Aruba,ABW,2002,9
156,NA,North America,Aruba,ABW,2003,2
157,NA,North America,Aruba,ABW,2004,8
158,NA,North America,Aruba,ABW,2005,10
159,NA,North America,Aruba,ABW,2006,9
160,NA,North America,Aruba,ABW,2007,8
161,NA,North America,Aruba,ABW,2008,4
162,NA,North America,Aruba,ABW,2009,4
163,NA,North America,Aruba,ABW,2010,7
164,NA,North America,Aruba,ABW,2011,9
165,NA,North America,Aruba,ABW,2012,3
166,NA,North America,Aruba,ABW,2013,2
167,NA,North America,Aruba,ABW,2014,5
168,NA,North America,Aruba,ABW,2015,9
169,OC,Oceania,Australia,AUS,1979,1675
170,OC,Oceania,Australia,AUS,1980,1606
171,OC,Oceania,Australia,AUS,1981,1671
172,OC,Oceania,Australia,AUS,1982,1766
173,OC,Oceania,Australia,AUS,1983,1697
174,OC,Oceania,Australia,AUS,1984,1753
175,OC,Oceania,Australia,AUS,1985,1861
176,OC,Oceania,Australia,AUS,1986,2044
177,OC,Oceania,Australia,AUS,1987,2164
178,OC,Oceania,Australia,AUS,1988,2172
179,OC,Oceania,Australia,AUS,1989,2066
180,OC,Oceania,Australia,AUS,1990,2202
181,OC,Oceania,Australia,AUS,1991,2288
182,OC,Oceania,Australia,AUS,1992,2251
183,OC,Oceania,Australia,AUS,1993,2038
184,OC,Oceania,Australia,AUS,1994,2283
185,OC,Oceania,Australia,AUS,1995,2170
186,OC,Oceania,Australia,AUS,1996,2426
187,OC,Oceania,Australia,AUS,1997,2646
188,OC,Oceania,Australia,AUS,1998,2632
189,OC,Oceania,Australia,AUS,1999,2488
190,OC,Oceania,Australia,AUS,2000,2391
191,OC,Oceania,Australia,AUS,2001,2458
192,OC,Oceania,Australia,AUS,2002,2319
193,OC,Oceania,Australia,AUS,2003,2156
194,OC,Oceania,Australia,AUS,2004,2114
195,OC,Oceania,Australia,AUS,2006,2117
196,OC,Oceania,Australia,AUS,2007,2229
197,OC,Oceania,Australia,AUS,2008,2341
198,OC,Oceania,Australia,AUS,2009,2337
199,OC,Oceania,Australia,AUS,2010,2420
200,OC,Oceania,Australia,AUS,2011,2392
201,OC,Oceania,Australia,AUS,2012,2580
202,OC,Oceania,Australia,AUS,2013,2608
203,OC,Oceania,Australia,AUS,2014,2891
204,OC,Oceania,Australia,AUS,2015,3027
205,EU,Europe,Austria,AUT,1980,1932
206,EU,Europe,Austria,AUT,1981,2032
207,EU,Europe,Austria,AUT,1982,2070
208,EU,Europe,Austria,AUT,1983,2041
209,EU,Europe,Austria,AUT,1984,2028
210,EU,Europe,Austria,AUT,1985,2091
211,EU,Europe,Austria,AUT,1986,2139
212,EU,Europe,Austria,AUT,1987,2069
213,EU,Europe,Austria,AUT,1988,1851
214,EU,Europe,Austria,AUT,1989,1898
215,EU,Europe,Austria,AUT,1990,1825
216,EU,Europe,Austria,AUT,1991,1769
217,EU,Europe,Austria,AUT,1992,1759
218,EU,Europe,Austria,AUT,1993,1704
219,EU,Europe,Austria,AUT,1994,1776
220,EU,Europe,Austria,AUT,1995,1788
221,EU,Europe,Austria,AUT,1996,1779
222,EU,Europe,Austria,AUT,1997,1592
223,EU,Europe,Austria,AUT,1998,1559
224,EU,Europe,Austria,AUT,1999,1555
225,EU,Europe,Austria,AUT,2000,1588
226,EU,Europe,Austria,AUT,2001,1489
227,EU,Europe,Austria,AUT,2002,1553
228,EU,Europe,Austria,AUT,2003,1456
229,EU,Europe,Austria,AUT,2004,1422
230,EU,Europe,Austria,AUT,2005,1399
231,EU,Europe,Austria,AUT,2006,1297
232,EU,Europe,Austria,AUT,2007,1285
233,EU,Europe,Austria,AUT,2008,1267
234,EU,Europe,Austria,AUT,2009,1278
235,EU,Europe,Austria,AUT,2010,1264
236,EU,Europe,Austria,AUT,2011,1288
237,EU,Europe,Austria,AUT,2012,1276
238,EU,Europe,Austria,AUT,2013,1291
239,EU,Europe,Austria,AUT,2014,1314
240,EU,Europe,Austria,AUT,2015,1251
241,EU,Europe,Austria,AUT,2016,1204
242,AS,Asia,Azerbaijan,AZE,1981,287
243,AS,Asia,Azerbaijan,AZE,1982,239
244,AS,Asia,Azerbaijan,AZE,1985,244
245,AS,Asia,Azerbaijan,AZE,1986,235
246,AS,Asia,Azerbaijan,AZE,1987,254
247,AS,Asia,Azerbaijan,AZE,1988,232
248,AS,Asia,Azerbaijan,AZE,1989,219
249,AS,Asia,Azerbaijan,AZE,1990,114
250,AS,Asia,Azerbaijan,AZE,1991,134
251,AS,Asia,Azerbaijan,AZE,1992,144
252,AS,Asia,Azerbaijan,AZE,1993,119
253,AS,Asia,Azerbaijan,AZE,1994,47
254,AS,Asia,Azerbaijan,AZE,1995,49
255,AS,Asia,Azerbaijan,AZE,1996,69
256,AS,Asia,Azerbaijan,AZE,1997,107
257,AS,Asia,Azerbaijan,AZE,1998,56
258,AS,Asia,Azerbaijan,AZE,1999,54
259,AS,Asia,Azerbaijan,AZE,2000,62
260,AS,Asia,Azerbaijan,AZE,2001,317
261,AS,Asia,Azerbaijan,AZE,2002,92
262,AS,Asia,Azerbaijan,AZE,2003,129
263,AS,Asia,Azerbaijan,AZE,2004,108
264,AS,Asia,Azerbaijan,AZE,2007,55
265,NA,North America,"Bahamas, The",BHS,1980,1
266,NA,North America,"Bahamas, The",BHS,1981,1
267,NA,North America,"Bahamas, The",BHS,1983,5
268,NA,North America,"Bahamas, The",BHS,1984,7
269,NA,North America,"Bahamas, The",BHS,1985,1
270,NA,North America,"Bahamas, The",BHS,1987,3
271,NA,North America,"Bahamas, The",BHS,1993,7
272,NA,North America,"Bahamas, The",BHS,1994,3
273,NA,North America,"Bahamas, The",BHS,1995,2
274,NA,North America,"Bahamas, The",BHS,1996,3
275,NA,North America,"Bahamas, The",BHS,1997,2
276,NA,North America,"Bahamas, The",BHS,1998,3
277,NA,North America,"Bahamas, The",BHS,1999,6
278,NA,North America,"Bahamas, The",BHS,2000,11
279,NA,North America,"Bahamas, The",BHS,2001,1
280,NA,North America,"Bahamas, The",BHS,2002,3
281,NA,North America,"Bahamas, The",BHS,2003,1
282,NA,North America,"Bahamas, The",BHS,2004,2
283,NA,North America,"Bahamas, The",BHS,2005,4
284,NA,North America,"Bahamas, The",BHS,2006,2
285,NA,North America,"Bahamas, The",BHS,2007,5
286,NA,North America,"Bahamas, The",BHS,2008,4
287,NA,North America,"Bahamas, The",BHS,2009,6
288,NA,North America,"Bahamas, The",BHS,2010,10
289,NA,North America,"Bahamas, The",BHS,2011,4
290,NA,North America,"Bahamas, The",BHS,2012,5
291,NA,North America,"Bahamas, The",BHS,2013,5
292,AS,Asia,Bahrain,BHR,1985,11
293,AS,Asia,Bahrain,BHR,1987,9
294,AS,Asia,Bahrain,BHR,1988,14
295,AS,Asia,Bahrain,BHR,1997,0
296,AS,Asia,Bahrain,BHR,1998,0
297,AS,Asia,Bahrain,BHR,1999,17
298,AS,Asia,Bahrain,BHR,2000,29
299,AS,Asia,Bahrain,BHR,2001,23
300,AS,Asia,Bahrain,BHR,2002,25
301,AS,Asia,Bahrain,BHR,2003,34
302,AS,Asia,Bahrain,BHR,2004,42
303,AS,Asia,Bahrain,BHR,2005,42
304,AS,Asia,Bahrain,BHR,2006,28
305,AS,Asia,Bahrain,BHR,2007,40
306,AS,Asia,Bahrain,BHR,2008,43
307,AS,Asia,Bahrain,BHR,2009,36
308,AS,Asia,Bahrain,BHR,2010,19
309,AS,Asia,Bahrain,BHR,2011,18
310,AS,Asia,Bahrain,BHR,2012,19
311,AS,Asia,Bahrain,BHR,2013,5
312,AS,Asia,Bahrain,BHR,2014,9
313,NA,North America,Barbados,BRB,1979,2
314,NA,North America,Barbados,BRB,1980,3
315,NA,North America,Barbados,BRB,1981,7
316,NA,North America,Barbados,BRB,1982,2
317,NA,North America,Barbados,BRB,1983,9
318,NA,North America,Barbados,BRB,1984,5
319,NA,North America,Barbados,BRB,1985,7
320,NA,North America,Barbados,BRB,1986,8
321,NA,North America,Barbados,BRB,1987,6
322,NA,North America,Barbados,BRB,1988,12
323,NA,North America,Barbados,BRB,1989,16
324,NA,North America,Barbados,BRB,1990,16
325,NA,North America,Barbados,BRB,1991,17
326,NA,North America,Barbados,BRB,1992,14
327,NA,North America,Barbados,BRB,1993,16
328,NA,North America,Barbados,BRB,1994,14
329,NA,North America,Barbados,BRB,1995,17
330,NA,North America,Barbados,BRB,2000,10
331,NA,North America,Barbados,BRB,2001,2
