xyz,time,countryname,countrycode,Education,Unemployment,PovertyRatio,NetMigration,population,GDPpc,GINI,yearcountryWB
1,1979,Afghanistan,AFG,-1,-1,-1,-1,13306695,-1,-1,1979AFG
2,1979,Albania,ALB,-1,-1,-1,-1,2617832,-1,-1,1979ALB
3,1979,Algeria,DZA,-1,-1,-1,-1,18760761,-1,-1,1979DZA
4,1979,American Samoa,ASM,-1,14.35000038,-1,-1,31673,-1,-1,1979ASM
5,1979,Andorra,AND,-1,-1,-1,-1,34818,-1,-1,1979AND
6,1979,Angola,AGO,-1,-1,-1,-1,8641521,-1,-1,1979AGO
7,1979,Antigua and Barbuda,ATG,-1,-1,-1,-1,73528,-1,-1,1979ATG
8,1979,Argentina,ARG,-1,2,-1,-1,27684534,-1,-1,1979ARG
9,1979,Armenia,ARM,-1,-1,-1,-1,3049105,-1,-1,1979ARM
10,1979,Aruba,ABW,-1,-1,-1,-1,59980,-1,-1,1979ABW
11,1979,Australia,AUS,-1,6.264900208,-1,-1,14514000,-1,-1,1979AUS
12,1979,Austria,AUT,-1,2,-1,-1,7549425,-1,-1,1979AUT
13,1979,Azerbaijan,AZE,-1,-1,-1,-1,6053645,-1,-1,1979AZE
14,1979,"Bahamas, The",BHS,-1,14.69999981,-1,-1,206032,-1,-1,1979BHS
15,1979,Bahrain,BHR,-1,-1,-1,-1,342798,-1,-1,1979BHR
16,1979,Bangladesh,BGD,-1,-1,-1,-1,79236776,-1,-1,1979BGD
17,1979,Barbados,BRB,-1,9.449999809,-1,-1,251177,-1,-1,1979BRB
18,1979,Belarus,BLR,-1,-1,-1,-1,9584000,-1,-1,1979BLR
19,1979,Belgium,BEL,-1,-1,-1,-1,9848382,-1,-1,1979BEL
20,1979,Belize,BLZ,-1,-1,-1,-1,141305,-1,-1,1979BLZ
21,1979,Benin,BEN,1.100000024,-1,-1,-1,3618526,-1,-1,1979BEN
22,1979,Bermuda,BMU,-1,-1,-1,-1,53800,-1,-1,1979BMU
23,1979,Bhutan,BTN,-1,-1,-1,-1,397390,-1,-1,1979BTN
24,1979,Bolivia,BOL,-1,5.599999905,-1,-1,5469123,-1,-1,1979BOL
25,1979,Bosnia and Herzegovina,BIH,-1,-1,-1,-1,4138819,-1,-1,1979BIH
26,1979,Botswana,BWA,-1,-1,-1,-1,964166,-1,-1,1979BWA
27,1979,Brazil,BRA,-1,2.75999999,-1,-1,118342626,-1,-1,1979BRA
28,1979,British Virgin Islands,VGB,-1,-1,-1,-1,10792,-1,-1,1979VGB
29,1979,Brunei Darussalam,BRN,-1,10.04100037,-1,-1,187656,-1,-1,1979BRN
30,1979,Bulgaria,BGR,-1,-1,-1,-1,8825940,-1,-1,1979BGR
31,1979,Burkina Faso,BFA,-1,-1,-1,-1,6671656,-1,-1,1979BFA
32,1979,Burundi,BDI,-1,-1,-1,-1,4013310,-1,-1,1979BDI
33,1979,Cabo Verde,CPV,-1,-1,-1,-1,282415,-1,-1,1979CPV
34,1979,Cambodia,KHM,-1,-1,-1,-1,6768724,-1,-1,1979KHM
35,1979,Cameroon,CMR,-1,-1,-1,-1,8364835,-1,-1,1979CMR
36,1979,Canada,CAN,-1,7.525300026,-1,-1,24277000,-1,-1,1979CAN
37,1979,Cayman Islands,CYM,-1,-1,-1,-1,15444,-1,-1,1979CYM
38,1979,Central African Republic,CAF,-1,-1,-1,-1,2218575,-1,-1,1979CAF
39,1979,Chad,TCD,-1,-1,-1,-1,4420716,-1,-1,1979TCD
40,1979,Channel Islands,CHI,-1,-1,-1,-1,127692,-1,-1,1979CHI
41,1979,Chile,CHL,-1,13.63000011,-1,-1,11096868,-1,-1,1979CHL
42,1979,China,CHN,-1,5.400000095,-1,-1,969005000,-1,-1,1979CHN
43,1979,Colombia,COL,-1,-1,-1,-1,27113512,-1,-1,1979COL
44,1979,Comoros,COM,-1,-1,-1,-1,297447,-1,-1,1979COM
